atom_1,atom_2,f,c6,c12,type,s
N0,C1,1,0.11642E-00,0.12549E-02,semi repulsive,0
N0,SC1,1,0.11642E-00,0.12549E-02,semi repulsive,0
N0,Qda,1,0.17246E-00,0.18590E-02,semi attractive,0
N0,SQda,1,0.17246E-00,0.18590E-02,semi attractive,0
N0,Qd,1,0.17246E-00,0.18590E-02,semi attractive,0
N0,SQd,1,0.17246E-00,0.18590E-02,semi attractive,0
N0,Qa,1,0.17246E-00,0.18590E-02,semi attractive,0
N0,SQa,1,0.17246E-00,0.18590E-02,semi attractive,0
N0,Q0,1,0.17246E-00,0.18590E-02,semi attractive,0
N0,SQ0,1,0.17246E-00,0.18590E-02,semi attractive,0
SN0,C5,1,0.15091E-00,0.16267E-02,intermediate,0 
SN0,SC5,1,0.66375E-01,0.41957E-03,intermediate,0.43
SN0,C4,1,0.15091E-00,0.16267E-02,intermediate,0 
SN0,SC4,1,0.66375E-01,0.41957E-03,intermediate,0.43
SN0,C3,1,0.15091E-00,0.16267E-02,intermediate,0 
SN0,SC3,1,0.66375E-01,0.41957E-03,intermediate,0.43
SN0,C2,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SN0,SC2,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
SN0,C1,1,0.11642E-00,0.12549E-02,semi repulsive,0
SN0,SC1,1,0.51203E-01,0.32367E-03,semi repulsive,0.43
SN0,Qda,1,0.17246E-00,0.18590E-02,semi attractive,0
SN0,SQda,1,0.75856E-01,0.47952E-03,semi attractive,0.43
SN0,Qd,1,0.17246E-00,0.18590E-02,semi attractive,0
SN0,SQd,1,0.75856E-01,0.47952E-03,semi attractive,0.43
SN0,Qa,1,0.17246E-00,0.18590E-02,semi attractive,0
SN0,SQa,1,0.75856E-01,0.47952E-03,semi attractive,0.43
SN0,Q0,1,0.17246E-00,0.18590E-02,semi attractive,0
SN0,SQ0,1,0.75856E-01,0.47952E-03,semi attractive,0.43
C5,SC5,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,C4,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,SC4,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,C3,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,SC3,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,C2,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C5,SC2,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C5,C1,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C5,SC1,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C5,Qda,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,SQda,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,Qd,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,SQd,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,Qa,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,SQa,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,Q0,1,0.15091E-00,0.16267E-02,intermediate,0 
C5,SQ0,1,0.15091E-00,0.16267E-02,intermediate,0 
SC5,C4,1,0.15091E-00,0.16267E-02,intermediate,0 
SC5,SC4,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC5,C3,1,0.15091E-00,0.16267E-02,intermediate,0 
SC5,SC3,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC5,C2,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC5,SC2,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
SC5,C1,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC5,SC1,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
SC5,Qda,1,0.15091E-00,0.16267E-02,intermediate,0 
SC5,SQda,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC5,Qd,1,0.15091E-00,0.16267E-02,intermediate,0 
SC5,SQd,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC5,Qa,1,0.15091E-00,0.16267E-02,intermediate,0 
SC5,SQa,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC5,Q0,1,0.15091E-00,0.16267E-02,intermediate,0 
SC5,SQ0,1,0.66375E-01,0.41957E-03,intermediate,0.43
C4,SC4,1,0.15091E-00,0.16267E-02,intermediate,0 
C4,C3,1,0.15091E-00,0.16267E-02,intermediate,0 
C4,SC3,1,0.15091E-00,0.16267E-02,intermediate,0 
C4,C2,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,SC2,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,C1,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,SC1,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,Qda,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,SQda,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,Qd,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,SQd,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,Qa,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,SQa,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,Q0,1,0.13366E-00,0.14408E-02,almost intermediate,0 
C4,SQ0,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC4,C3,1,0.15091E-00,0.16267E-02,intermediate,0 
SC4,SC3,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC4,C2,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC4,SC2,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
SC4,C1,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC4,SC1,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
SC4,Qda,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC4,SQda,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
SC4,Qd,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC4,SQd,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
SC4,Qa,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC4,SQa,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
SC4,Q0,1,0.13366E-00,0.14408E-02,almost intermediate,0 
SC4,SQ0,1,0.58789E-01,0.37162E-03,almost intermediate,0.43
C3,SC3,1,0.15091E-00,0.16267E-02,intermediate,0 
C3,C2,1,0.15091E-00,0.16267E-02,intermediate,0 
C3,SC2,1,0.15091E-00,0.16267E-02,intermediate,0 
C3,C1,1,0.15091E-00,0.16267E-02,intermediate,0 
C3,SC1,1,0.15091E-00,0.16267E-02,intermediate,0 
C3,Qda,1,0.11642E-00,0.12549E-02,semi repulsive,0
C3,SQda,1,0.11642E-00,0.12549E-02,semi repulsive,0
C3,Qd,1,0.11642E-00,0.12549E-02,semi repulsive,0
C3,SQd,1,0.11642E-00,0.12549E-02,semi repulsive,0
C3,Qa,1,0.11642E-00,0.12549E-02,semi repulsive,0
C3,SQa,1,0.11642E-00,0.12549E-02,semi repulsive,0
C3,Q0,1,0.11642E-00,0.12549E-02,semi repulsive,0
C3,SQ0,1,0.11642E-00,0.12549E-02,semi repulsive,0
SC3,C2,1,0.15091E-00,0.16267E-02,intermediate,0 
SC3,SC2,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC3,C1,1,0.15091E-00,0.16267E-02,intermediate,0 
SC3,SC1,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC3,Qda,1,0.11642E-00,0.12549E-02,semi repulsive,0
SC3,SQda,1,0.51203E-01,0.32367E-03,semi repulsive,0.43
SC3,Qd,1,0.11642E-00,0.12549E-02,semi repulsive,0
SC3,SQd,1,0.51203E-01,0.32367E-03,semi repulsive,0.43
SC3,Qa,1,0.11642E-00,0.12549E-02,semi repulsive,0
SC3,SQa,1,0.51203E-01,0.32367E-03,semi repulsive,0.43
SC3,Q0,1,0.11642E-00,0.12549E-02,semi repulsive,0
SC3,SQ0,1,0.51203E-01,0.32367E-03,semi repulsive,0.43
C2,SC2,1,0.15091E-00,0.16267E-02,intermediate,0 
C2,C1,1,0.15091E-00,0.16267E-02,intermediate,0 
C2,SC1,1,0.15091E-00,0.16267E-02,intermediate,0 
C2,Qda,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C2,SQda,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C2,Qd,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C2,SQd,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C2,Qa,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C2,SQa,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C2,Q0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C2,SQ0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC2,C1,1,0.15091E-00,0.16267E-02,intermediate,0 
SC2,SC1,1,0.66375E-01,0.41957E-03,intermediate,0.43
SC2,Qda,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC2,SQda,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
SC2,Qd,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC2,SQd,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
SC2,Qa,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC2,SQa,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
SC2,Q0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC2,SQ0,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
C1,SC1,1,0.15091E-00,0.16267E-02,intermediate,0 
C1,Qda,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C1,SQda,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C1,Qd,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C1,SQd,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C1,Qa,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C1,SQa,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C1,Q0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
C1,SQ0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC1,Qda,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC1,SQda,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
SC1,Qd,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC1,SQd,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
SC1,Qa,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC1,SQa,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
SC1,Q0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SC1,SQ0,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
Qda,SQda,1,0.24145E-00,0.26027E-02,supra attractive,0
Qda,Qd,1,0.21558E-00,0.23238E-02,attractive,0 
Qda,SQd,1,0.21558E-00,0.23238E-02,attractive,0 
Qda,Qa,1,0.21558E-00,0.23238E-02,attractive,0 
Qda,SQa,1,0.21558E-00,0.23238E-02,attractive,0 
Qda,Q0,1,0.15091E-00,0.16267E-02,intermediate,0 
Qda,SQ0,1,0.15091E-00,0.16267E-02,intermediate,0 
SQda,Qd,1,0.21558E-00,0.23238E-02,attractive,0 
SQda,SQd,1,0.94820E-01,0.59939E-03,attractive,0.43
SQda,Qa,1,0.21558E-00,0.23238E-02,attractive,0 
SQda,SQa,1,0.94820E-01,0.59939E-03,attractive,0.43
SQda,Q0,1,0.15091E-00,0.16267E-02,intermediate,0 
SQda,SQ0,1,0.66375E-01,0.41957E-03,intermediate,0.43
Qd,SQd,1,0.15091E-00,0.16267E-02,intermediate,0 
Qd,Qa,1,0.17246E-00,0.18590E-02,semi attractive,0
Qd,SQa,1,0.17246E-00,0.18590E-02,semi attractive,0
Qd,Q0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
Qd,SQ0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SQd,Qa,1,0.17246E-00,0.18590E-02,semi attractive,0
SQd,SQa,1,0.75856E-01,0.47952E-03,semi attractive,0.43
SQd,Q0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SQd,SQ0,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
Qa,SQa,1,0.15091E-00,0.16267E-02,intermediate,0 
Qa,Q0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
Qa,SQ0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SQa,Q0,1,0.99167E-01,0.10690E-02,almost repulsive,0 
SQa,SQ0,1,0.43617E-01,0.27572E-03,almost repulsive,0.43
Q0,SQ0,1,0.15091E-00,0.16267E-02,intermediate,0
POL,P5,1,0.20480E-00,0.22076E-02,attractive,0
POL,SP5,1,0.20480E-00,0.22076E-02,attractive,0
POL,P4,1,0.18432E-00,0.19868E-02,almost attractive,0
POL,SP4,1,0.18432E-00,0.19868E-02,almost attractive,0
POL,P3,1,0.18432E-00,0.19868E-02,almost attractive,0
POL,SP3,1,0.18432E-00,0.19868E-02,almost attractive,0
POL,P2,1,0.16384E-00,0.17660E-02,semi attractive,0
POL,SP2,1,0.16384E-00,0.17660E-02,semi attractive,0
POL,P1,1,0.16384E-00,0.17660E-02,semi attractive,0
POL,SP1,1,0.16384E-00,0.17660E-02,semi attractive,0
POL,Nda,1,0.14336E-00,0.15454E-02,intermediate,0
POL,SNda,1,0.14336E-00,0.15454E-02,intermediate,0
POL,Nd,1,0.14336E-00,0.15454E-02,intermediate,0
POL,SNd,1,0.14336E-00,0.15454E-02,intermediate,0
POL,Na,1,0.14336E-00,0.15454E-02,intermediate,0
POL,SNa,1,0.14336E-00,0.15454E-02,intermediate,0
POL,N0,1,0.12029E-00,0.12967E-02,almost intermediate,0
POL,SN0,1,0.12029E-00,0.12967E-02,almost intermediate,0
POL,C5,1,0.99167E-01,0.10690E-02,almost repulsive,0
POL,SC5,1,0.99167E-01,0.10690E-02,almost repulsive,0
POL,C4,1,0.86233E-01,0.92953E-03,repulsive,0
POL,SC4,1,0.86233E-01,0.92953E-03,repulsive,0
POL,C3,1,0.86233E-01,0.92953E-03,repulsive,0
POL,SC3,1,0.86233E-01,0.92953E-03,repulsive,0
POL,C2,1,6.89864E-02,7.43624E-04,repulsive,0
POL,SC2,1,6.89864E-02,7.43624E-04,repulsive,0
POL,C1,1,5.17398E-02,5.57718E-04,repulsive,0
POL,SC1,1,5.17398E-02,5.57718E-04,repulsive,0
POL,Qda,1,0.24145E-00,0.26027E-02,supra attractive,0
POL,SQda,1,0.24145E-00,0.26027E-02,supra attractive,0
POL,Qd,1,0.21558E-00,0.23238E-02,attractive,0
POL,SQd,1,0.21558E-00,0.23238E-02,attractive,0
POL,Qa,1,0.21558E-00,0.23238E-02,attractive,0
POL,SQa,1,0.21558E-00,0.23238E-02,attractive,0
POL,Q0,1,0.19402E-00,0.20914E-02,almost attractive,0
POL,SQ0,1,0.19402E-00,0.20914E-02,almost attractive,0
POL,PQa,1,0.13366E-00,0.14408E-02,almost intermediate,0
POL,PQd,1,0.13366E-00,0.14408E-02,almost intermediate,0
